channel,month,product_grouping,product_quantity,sales
Website,2021-11-01,11126,7,65.47
Website,2021-11-01,11138,2,34.995
E-commerce 2,2021-11-01,11125,2,19.99
E-commerce 2,2021-11-01,11124,1,12.495
Wholesale,2021-11-01,11133,7,0
Wholesale,2021-11-01,11120,125,0
Website,2021-11-01,11115,2,0
Wholesale,2021-11-01,11132,3250,0
Wholesale,2021-11-01,11112,2,0
E-commerce 1,2021-10-01,11133,16536,164837.534999961
Website,2021-10-01,11137,5091,142107.799999996
Website,2021-10-01,11113,3224,88945.2349500012
E-commerce 1,2021-10-01,11127,7248,72303.8300000024
Website,2021-10-01,11127,4234,50718.4445500011
Website,2021-10-01,11138,1524,47887.9350000003
Website,2021-10-01,11135,3309,37912.1446999997
Retailer 1,2021-10-01,11127,5280,35319
Website,2021-10-01,11118,954,26614.7749999999
Website,2021-10-01,11119,2500,24490.2598499998
Website,2021-10-01,11130,2317,23877.4898499998
Website,2021-10-01,11124,1426,19761.1351000003
Website,2021-10-01,11133,2285,17127.4449000004
Website,2021-10-01,11136,1900,16686.4750000004
E-commerce 1,2021-10-01,11119,1620,16191.9000000004
Retailer 1,2021-10-01,11135,2676,14718
Website,2021-10-01,11120,6036,14519.1449500008
