country,billing_city,billing_region,sum,latitude,longitude
United States,Key West,Florida,243.085,24.565313,-81.762179
United States,Summerland Key,Florida,55.235,24.655322,-81.493564
United States,Big Pine Key,Florida,16.995,24.679996,-81.362029
United States,Marathon,Florida,126.325,24.727919,-81.038581
United States,Islamorada,Florida,44.99,24.923331,-80.629953
United States,Tavernier,Florida,19.99,25.010788,-80.521816
United States,Key Largo,Florida,92.97,25.140214,-80.406084
United States,Homestead,Florida,1498.375,25.476639,-80.483853
United States,Key Biscayne,Florida,277.395,25.692104,-80.162475
United States,Miami Beach,Florida,1289.655,25.7611,-80.1403
United States,Miami,Florida,24055.455,25.779,-80.1982
United States,Hialeah,Florida,3849.29,25.905,-80.3049
United States,Opa Locka,Florida,160.82,25.909662,-80.247004
United States,Brownsville,Texas,914.81,25.933743,-97.517413
United States,North Miami Beach,Florida,420.205,25.936086,-80.135141
United States,Marco Island,Florida,59.39,25.9392,-81.7174
United States,Hallandale,Florida,14.4,25.980833,-80.148611
United States,Hollywood,Florida,2450.795,26.007011,-80.121931
United States,Pembroke Pines,Florida,3615.055,26.022927,-80.297441
United States,Olmito,Texas,111.985,26.039167,-97.556111
United States,Los Fresnos,Texas,22.5,26.091068,-97.490402
United States,Hidalgo,Texas,243.945,26.102832,-98.253641
United States,Fort Lauderdale,Florida,2826.535,26.121561,-80.128778
United States,San Benito,Texas,80.285,26.133659,-97.644748
United States,Naples,Florida,4319.97,26.1377,-81.7966
United States,Mercedes,Texas,67.985,26.15133,-97.918503
United States,Donna,Texas,65.49,26.167138,-98.052925
United States,Weslaco,Texas,446.11,26.169444,-97.988714
United States,Pharr,Texas,590.735,26.177053,-98.187022
United States,Alamo,Texas,98.72,26.190578,-98.116445
United States,Harlingen,Texas,894.585,26.195142,-97.688981
United States,San Juan,Texas,445.885,26.204375,-98.153729
United States,Mcallen,Texas,1042.64,26.21544,-98.235871
United States,Penitas,Texas,40.375,26.230278,-98.444444
United States,Pompano Beach,Florida,1130.64,26.231529,-80.12346
United States,Mission,Texas,1394.665,26.24153,-98.342647
United States,Coconut Creek,Florida,598.41,26.2441,-80.2066
United States,Santa Rosa,Texas,23.485,26.255508,-97.825663
United States,Lighthouse Point,Florida,158.845,26.278698,-80.112439
United States,Elsa,Texas,49.495,26.293056,-97.992778
United States,Edcouch,Texas,37.995,26.304208,-97.975473
United States,Edinburg,Texas,2004.385,26.304221,-98.156922
United States,Deerfield Beach,Florida,783.08,26.309556,-80.099173
United States,Garciasville,Texas,60.735,26.312894,-98.669112
United States,Boca Raton,Florida,2840.125,26.3583,-80.0833
United States,Immokalee,Florida,9,26.3751,-81.3678
United States,Bonita Springs,Florida,360.045,26.3869,-81.733
United States,Rio Grande City,Texas,129.985,26.394194,-98.810444
United States,Roma,Texas,106.46,26.421545,-99.002479
United States,Estero,Florida,286.835,26.435052,-81.810244
United States,Sanibel,Florida,42.915,26.4514,-82.086825
United States,Delray Beach,Florida,1102.84,26.456445,-80.079321
United States,Boynton Beach,Florida,1108.41,26.525,-80.0666
United States,Cape Coral,Florida,1788.66,26.57746,-81.952243
United States,Lehigh Acres,Florida,138.645,26.615302,-81.61046
United States,Lake Worth,Florida,2034.365,26.6155,-80.1469
United States,Fort Myers,Florida,1728.045,26.620403,-81.8725
United States,North Fort Myers,Florida,35.495,26.678138,-81.909632
United States,Belle Glade,Florida,89.99,26.684289,-80.672392
United States,West Palm Beach,Florida,2725.13,26.713956,-80.065874
United States,Alva,Florida,223.665,26.714657,-81.635055
United States,Clewiston,Florida,272.885,26.717171,-80.949249
United States,Palm Beach,Florida,45.485,26.72065,-80.038825
United States,Labelle,Florida,384.685,26.732093,-81.434027
United States,Loxahatchee,Florida,462.735,26.738295,-80.276007
United States,North Palm Beach,Florida,282.685,26.828854,-80.060334
United States,Palm Beach Gardens,Florida,1191.445,26.844373,-80.087304
United States,Zapata,Texas,69.985,26.88966,-99.250625
United States,Rotonda West,Florida,35.485,26.90039,-82.293778
United States,Punta Gorda,Florida,247.59,26.915163,-82.053166
United States,Jupiter,Florida,1645.05,26.933938,-80.120091
United States,Port Charlotte,Florida,628.875,26.98268,-82.141173
United States,Indiantown,Florida,161.705,27.061461,-80.480277
United States,North Port,Florida,567.855,27.0781,-82.1735
United States,Hobe Sound,Florida,22.495,27.081306,-80.150851
United States,Venice,Florida,456.695,27.0993,-82.4489
United States,Nokomis,Florida,19.125,27.118889,-82.444444
United States,Palm City,Florida,364.405,27.165646,-80.291646
United States,Osprey,Florida,101.495,27.18384,-82.485339
United States,Arcadia,Florida,82.235,27.1861,-81.8095
United States,Stuart,Florida,419.205,27.196834,-80.253786
United States,Falfurrias,Texas,52.485,27.22416,-98.140844
United States,Jensen Beach,Florida,63.995,27.235568,-80.227656
United States,Port Saint Lucie,Florida,307.88,27.288895,-80.297971
United States,Lake Placid,Florida,83.86,27.294474,-81.364918
United States,Hebbronville,Texas,9.995,27.2997,-98.682888
United States,Okeechobee,Florida,222.705,27.311532,-80.847853
United States,Sarasota,Florida,7726.905,27.3348,-82.5375
United States,Premont,Texas,92.48,27.354444,-98.133018
United States,Myakka City,Florida,326.42,27.364764,-82.184897
United States,Longboat Key,Florida,52.49,27.38669,-82.638403
United States,Sarasota,Florida,7726.905,27.407235,-82.530299
United States,Fort Pierce,Florida,789.84,27.438233,-80.443963
United States,Sebring,Florida,151.955,27.492391,-81.435712
United States,Bradenton,Florida,2066.34,27.502778,-82.513889
United States,Kingsville,Texas,373.09,27.507418,-97.859598
United States,Laredo,Texas,1428.585,27.515538,-99.498579
United States,Palmetto,Florida,1631.395,27.521111,-82.5725
United States,Anna Maria,Florida,34.995,27.530833,-82.733611
United States,Ellenton,Florida,135.485,27.53818,-82.5006
United States,Wauchula,Florida,47.88,27.551742,-81.807388
United States,Parrish,Florida,600.56,27.557162,-82.396009
United States,Terra Ceia,Florida,57.5,27.579167,-82.580556
United States,Avon Park,Florida,191.395,27.600085,-81.501486
United States,Bowling Green,Florida,21.25,27.627738,-81.845058
United States,Vero Beach,Florida,851.925,27.632985,-80.403075
United States,Wimauma,Florida,284.25,27.701497,-82.315136
United States,Ruskin,Florida,493.22,27.701501,-82.435501
United States,Sun City Center,Florida,52.245,27.7205,-82.4333
United States,Frostproof,Florida,118.46,27.721058,-81.514778
United States,Alice,Texas,98.35,27.743171,-98.083622
United States,Fort Meade,Florida,99.025,27.746356,-81.782346
United States,San Diego,Texas,27,27.76535,-98.250297
United States,Apollo Beach,Florida,471.065,27.771553,-82.410199
United States,Saint Petersburg,Florida,1227.53,27.772318,-82.638609
United States,Sebastian,Florida,102.47,27.790082,-80.478432
United States,Corpus Christi,Texas,4116.905,27.794086,-97.402994
United States,Robstown,Texas,70.48,27.798395,-97.699523
United States,Lithia,Florida,111.725,27.829349,-82.135679
United States,Port Aransas,Texas,49.99,27.833611,-97.060833
United States,Pinellas Park,Florida,558.45,27.8387,-82.7151
United States,Gibsonton,Florida,328.925,27.841059,-82.369831
United States,Seminole,Florida,560.89,27.8438,-82.7947
United States,Riverview,Florida,2526.105,27.865833,-82.326667
United States,Ingleside,Texas,17.445,27.868238,-97.206906
United States,Sebastian,Florida,102.47,27.878146,-80.516051
United States,Freer,Texas,22.495,27.879984,-98.606129
United States,Indian Rocks Beach,Florida,20.245,27.884,-82.8455
United States,Portland,Texas,422.75,27.893547,-97.316931
United States,Bartow,Florida,203.945,27.895664,-81.812684
